Anc	Der	PanelFreq	Num
11	17	0.95	13
11	18	0.05	7
11	18	0.1	7
11	18	0.15	4
11	18	0.2	3
11	18	0.25	1
11	18	0.3	3
11	18	0.35	3
11	18	0.4	4
11	18	0.45	3
11	18	0.5	11
11	18	0.55	8
11	18	0.6	14
11	18	0.65	14
11	18	0.7	15
11	18	0.75	25
11	18	0.8	15
11	18	0.85	18
11	18	0.9	18
11	18	0.95	11
11	19	0.05	9
11	19	0.1	6
11	19	0.15	5
11	19	0.2	3
11	19	0.25	4
11	19	0.3	6
11	19	0.35	5
11	19	0.4	5
11	19	0.45	3
11	19	0.5	9
11	19	0.55	5
11	19	0.6	7
11	19	0.65	7
11	19	0.7	8
11	19	0.75	10
11	19	0.8	19
11	19	0.85	8
11	19	0.9	10
11	19	0.95	19
11	2	0.35	1
11	2	0.45	1
11	2	0.55	1
11	2	0.6	1
11	2	0.7	1
11	20	0.05	10
11	20	0.1	5
11	20	0.15	4
11	20	0.2	4
11	20	0.25	4
11	20	0.3	3
11	20	0.35	3
11	20	0.4	6
11	20	0.45	4
11	20	0.5	2
11	20	0.55	13
11	20	0.6	5
11	20	0.65	7
11	20	0.7	6
11	20	0.75	9
11	20	0.8	12
11	20	0.85	15
11	20	0.9	13
11	20	0.95	6
11	21	0.05	8
11	21	0.1	5
11	21	0.15	7
11	21	0.2	5
11	21	0.25	3
11	21	0.3	1
11	21	0.35	3
11	21	0.4	7
11	21	0.45	4
11	21	0.5	7
11	21	0.55	4
11	21	0.6	2
11	21	0.65	12
11	21	0.7	4
11	21	0.75	11
11	21	0.8	6
11	21	0.85	3
11	21	0.9	7
11	21	0.95	11
11	22	0.05	9
11	22	0.1	2
11	22	0.15	1
11	22	0.2	6
11	22	0.25	2
11	22	0.3	4
11	22	0.35	4
11	22	0.4	8
11	22	0.45	5
11	22	0.5	5
11	22	0.55	8
11	22	0.6	2
11	22	0.65	6
11	22	0.7	4
11	22	0.75	6
11	22	0.8	7
11	22	0.85	6
11	22	0.9	12
11	22	0.95	5
11	23	0.05	3
11	23	0.1	6
11	23	0.15	6
11	23	0.2	6
11	23	0.25	2
11	23	0.3	5
11	23	0.35	3
11	23	0.5	1
11	23	0.55	2
11	23	0.6	2
11	23	0.65	6
11	23	0.7	2
11	23	0.75	5
11	23	0.8	3
11	23	0.85	4
11	23	0.9	9
11	23	0.95	4
11	24	0.05	5
11	24	0.1	2
11	24	0.15	6
11	24	0.2	4
11	24	0.25	1
11	24	0.35	2
11	24	0.5	1
11	24	0.6	2
11	24	0.65	3
11	24	0.7	4
11	24	0.75	5
11	24	0.8	1
11	24	0.85	1
11	24	0.9	4
11	24	0.95	12
11	25	0.05	10
11	25	0.1	9
11	25	0.15	5
11	25	0.2	2
11	25	0.25	4
11	25	0.3	6
11	25	0.35	1
11	25	0.55	1
11	25	0.65	1
11	25	0.7	1
11	25	0.75	3
11	25	0.8	2
11	25	0.9	5
11	25	0.95	2
11	26	0.05	6
11	26	0.1	4
11	26	0.15	6
11	26	0.2	4
11	26	0.25	3
11	26	0.3	2
11	26	0.35	2
11	26	0.45	1
11	26	0.5	1
11	26	0.75	1
11	26	0.8	4
11	26	0.9	4
11	26	0.95	2
11	27	0.05	4
11	27	0.1	6
11	27	0.15	8
11	27	0.25	4
11	27	0.3	2
11	27	0.4	1
11	27	0.75	2
11	27	0.8	2
11	27	0.85	1
11	27	0.9	3
11	27	0.95	4
11	28	0.05	4
11	28	0.1	2
11	28	0.15	4
11	28	0.2	1
11	28	0.25	3
11	28	0.35	1
11	28	0.4	1
11	28	0.7	2
11	28	0.8	3
11	28	0.85	1
11	28	0.95	1
11	29	0.05	3
11	29	0.1	2
11	29	0.15	2
11	29	0.2	2
11	29	0.25	1
11	29	0.3	1
11	29	0.35	1
11	29	0.4	1
11	29	0.85	3
11	3	0.1	1
11	3	0.15	1
11	3	0.55	2
11	3	0.75	1
11	3	0.95	1
11	30	0.05	4
11	30	0.1	2
11	30	0.15	2
11	30	0.2	5
11	30	0.25	2
11	30	0.75	1
11	30	0.85	1
11	30	0.95	1
11	31	0.05	2
11	31	0.1	1
11	31	0.15	1
11	31	0.3	1
11	31	0.6	1
11	31	0.7	1
11	31	0.85	1
11	31	0.9	1
11	31	0.95	1
11	32	0.1	2
11	32	0.15	1
11	33	0.05	3
11	33	0.1	1
11	33	0.15	3
11	33	0.2	1
11	33	0.25	1
11	33	0.95	1
11	34	0.35	1
11	34	0.75	2
11	35	0.1	1
11	35	0.3	1
11	36	0.05	1
11	36	0.8	1
11	36	0.95	1
11	39	0.25	1
11	39	0.3	1
11	4	0.2	2
11	4	0.25	2
11	4	0.3	1
11	4	0.35	1
11	4	0.65	2
11	4	0.7	1
11	4	0.75	1
11	4	0.85	1
11	4	0.9	1
11	5	0.05	2
11	5	0.1	1
11	5	0.15	1
11	5	0.25	1
11	5	0.3	3
11	5	0.35	1
11	5	0.45	3
11	5	0.5	2
11	5	0.55	1
11	5	0.7	1
11	6	0.05	3
11	6	0.1	1
11	6	0.15	4
11	6	0.3	1
11	6	0.35	1
11	6	0.5	2
11	6	0.7	1
11	6	0.8	1
11	6	0.9	1
11	6	0.95	1
11	7	0.05	2
11	7	0.15	2
11	7	0.2	5
11	7	0.25	4
11	7	0.3	3
11	7	0.35	1
11	7	0.4	1
11	7	0.45	1
11	7	0.6	1
11	7	0.65	1
11	7	0.75	1
11	7	0.8	1
11	7	0.85	1
11	7	0.95	2
11	8	0.05	4
11	8	0.1	7
11	8	0.15	3
11	8	0.2	1
11	8	0.25	3
11	8	0.3	5
11	8	0.35	2
11	8	0.4	1
11	8	0.45	2
11	8	0.5	3
11	8	0.55	1
11	8	0.6	3
11	8	0.65	1
11	8	0.7	2
11	8	0.75	2
11	8	0.8	2
11	8	0.95	1
11	9	0.05	11
11	9	0.1	7
11	9	0.15	6
11	9	0.2	8
11	9	0.25	3
11	9	0.3	1
11	9	0.35	4
11	9	0.4	6
11	9	0.45	7
11	9	0.5	4
11	9	0.55	2
11	9	0.6	5
11	9	0.65	3
11	9	0.7	2
11	9	0.75	2
11	9	0.8	5
11	9	0.85	2
11	9	0.95	2
12	0	0.05	12
12	0	0.1	6
12	1	0.05	4
12	1	0.1	5
12	1	0.15	2
12	1	0.25	1
12	1	0.3	2
12	1	0.45	3
12	1	0.5	2
12	1	0.8	1
12	1	0.9	1
12	10	0.05	9
12	10	0.1	8
12	10	0.15	7
12	10	0.2	13
12	10	0.25	5
12	10	0.3	11
12	10	0.35	9
12	10	0.4	7
12	10	0.45	5
12	10	0.5	12
12	10	0.55	7
12	10	0.6	6
12	10	0.65	3
12	10	0.7	3
12	10	0.75	2
12	10	0.8	1
12	10	0.85	4
12	10	0.9	3
12	10	0.95	3
12	11	0.05	13
12	11	0.1	5
12	11	0.15	12
12	11	0.2	9
12	11	0.25	10
12	11	0.3	8
12	11	0.35	13
12	11	0.4	9
12	11	0.45	11
12	11	0.5	9
12	11	0.55	5
12	11	0.6	11
12	11	0.65	10
12	11	0.7	5
12	11	0.75	5
12	11	0.8	4
12	11	0.85	7
12	11	0.9	3
12	11	0.95	2
12	12	0.05	17
12	12	0.1	7
12	12	0.15	15
12	12	0.2	12
12	12	0.25	12
12	12	0.3	9
12	12	0.35	13
12	12	0.4	14
12	12	0.45	10
12	12	0.5	10
12	12	0.55	10
12	12	0.6	13
12	12	0.65	8
12	12	0.7	7
12	12	0.75	7
12	12	0.8	8
12	12	0.85	9
12	12	0.9	3
12	12	0.95	4
12	13	0.05	12
12	13	0.1	15
12	13	0.15	9
12	13	0.2	13
12	13	0.25	11
12	13	0.3	16
12	13	0.35	8
12	13	0.4	13
12	13	0.45	16
12	13	0.5	12
12	13	0.55	14
12	13	0.6	7
12	13	0.65	7
12	13	0.7	7
12	13	0.75	15
12	13	0.8	4
12	13	0.85	9
12	13	0.9	3
12	13	0.95	10
12	14	0.05	7
12	14	0.1	8
12	14	0.15	9
12	14	0.2	14
12	14	0.25	9
12	14	0.3	9
12	14	0.35	14
12	14	0.4	14
12	14	0.45	18
12	14	0.5	15
12	14	0.55	19
12	14	0.6	16
12	14	0.65	19
12	14	0.7	20
12	14	0.75	8
12	14	0.8	13
12	14	0.85	4
12	14	0.9	17
12	14	0.95	11
12	15	0.05	6
12	15	0.1	4
12	15	0.15	8
12	15	0.2	15
12	15	0.25	13
12	15	0.3	10
12	15	0.35	13
12	15	0.4	14
12	15	0.45	12
12	15	0.5	19
12	15	0.55	15
12	15	0.6	12
12	15	0.65	10
12	15	0.7	17
12	15	0.75	17
12	15	0.8	15
12	15	0.85	12
12	15	0.9	12
12	15	0.95	9
12	16	0.05	5
12	16	0.1	9
12	16	0.15	4
12	16	0.2	7
12	16	0.25	11
12	16	0.3	5
12	16	0.35	9
12	16	0.4	9
12	16	0.45	13
12	16	0.5	13
12	16	0.55	15
12	16	0.6	20
12	16	0.65	14
12	16	0.7	26
12	16	0.75	13
12	16	0.8	18
12	16	0.85	14
12	16	0.9	13
12	16	0.95	16
12	17	0.05	5
12	17	0.1	7
12	17	0.15	7
12	17	0.2	6
12	17	0.25	3
12	17	0.3	8
12	17	0.35	9
12	17	0.4	12
12	17	0.45	12
12	17	0.5	10
12	17	0.55	10
12	17	0.6	10
12	17	0.65	12
12	17	0.7	16
12	17	0.75	19
12	17	0.8	19
12	17	0.85	12
12	17	0.9	16
12	17	0.95	12
12	18	0.05	7
12	18	0.1	6
12	18	0.15	4
12	18	0.2	1
12	18	0.25	4
12	18	0.3	5
12	18	0.35	4
12	18	0.4	11
12	18	0.45	7
12	18	0.5	13
12	18	0.55	6
12	18	0.6	10
12	18	0.65	19
12	18	0.7	17
12	18	0.75	15
12	18	0.8	12
12	18	0.85	19
12	18	0.9	22
12	18	0.95	23
12	19	0.05	3
12	19	0.1	3
12	19	0.15	4
12	19	0.2	2
12	19	0.25	6
12	19	0.3	5
12	19	0.35	5
12	19	0.4	7
12	19	0.45	8
12	19	0.5	7
12	19	0.55	11
12	19	0.6	11
12	19	0.65	8
12	19	0.7	20
12	19	0.75	10
12	19	0.8	14
12	19	0.85	11
12	19	0.9	9
12	19	0.95	16
12	2	0.05	1
12	2	0.15	1
12	2	0.35	1
12	2	0.4	2
12	2	0.45	3
12	2	0.5	1
12	2	0.55	1
12	2	0.6	2
12	2	0.75	1
12	2	0.85	1
12	2	0.95	1
12	20	0.05	3
12	20	0.1	1
12	20	0.15	4
12	20	0.2	1
12	20	0.25	1
12	20	0.3	4
12	20	0.35	5
12	20	0.4	4
12	20	0.45	2
12	20	0.5	3
12	20	0.55	11
12	20	0.6	8
12	20	0.65	10
12	20	0.7	5
12	20	0.75	6
12	20	0.8	16
12	20	0.85	14
12	20	0.9	10
12	20	0.95	9
12	21	0.1	3
12	21	0.15	3
12	21	0.2	2
12	21	0.25	1
12	21	0.3	1
12	21	0.35	3
12	21	0.4	3
12	21	0.45	7
12	21	0.5	3
12	21	0.55	7
12	21	0.6	11
12	21	0.65	5
12	21	0.7	6
12	21	0.75	12
12	21	0.8	14
12	21	0.85	11
12	21	0.9	8
12	21	0.95	10
12	22	0.05	5
12	22	0.1	1
12	22	0.15	3
12	22	0.2	2
12	22	0.25	3
12	22	0.35	1
12	22	0.4	1
12	22	0.45	2
12	22	0.5	2
12	22	0.55	1
12	22	0.6	4
12	22	0.65	9
12	22	0.7	5
12	22	0.75	12
12	22	0.8	11
12	22	0.85	6
12	22	0.9	8
12	22	0.95	9
12	23	0.05	5
12	23	0.1	2
12	23	0.15	4
12	23	0.2	1
12	23	0.25	1
12	23	0.3	1
12	23	0.35	2
12	23	0.4	1
12	23	0.45	1
12	23	0.5	2
12	23	0.55	2
12	23	0.6	6
12	23	0.65	9
12	23	0.7	4
12	23	0.75	5
12	23	0.8	6
12	23	0.85	4
12	23	0.9	9
12	23	0.95	7
12	24	0.05	2
12	24	0.1	5
12	24	0.2	1
12	24	0.25	1
12	24	0.6	1
12	24	0.65	2
12	24	0.7	2
12	24	0.75	3
12	24	0.8	4
12	24	0.85	4
12	24	0.9	3
12	24	0.95	4
12	25	0.05	4
12	25	0.1	6
12	25	0.15	2
12	25	0.2	1
12	25	0.25	1
12	25	0.3	1
12	25	0.4	3
12	25	0.6	2
12	25	0.7	2
12	25	0.75	2
12	25	0.8	4
12	25	0.85	3
12	25	0.9	3
12	25	0.95	3
12	26	0.05	4
12	26	0.1	1
12	26	0.15	3
12	26	0.2	1
12	26	0.3	1
12	26	0.35	1
12	26	0.75	1
12	26	0.8	2
12	26	0.85	1
12	26	0.9	2
12	26	0.95	1
12	27	0.05	3
12	27	0.1	5
12	27	0.15	2
12	27	0.25	1
12	27	0.3	1
12	27	0.55	1
12	27	0.8	1
12	27	0.85	1
12	27	0.9	1
12	27	0.95	1
12	28	0.05	3
12	28	0.2	1
12	28	0.3	1
12	28	0.35	1
12	28	0.6	1
12	28	0.85	1
12	28	0.9	1
12	28	0.95	2
12	29	0.05	4
12	29	0.15	3
12	29	0.2	2
12	29	0.25	1
12	29	0.3	1
12	29	0.45	1
12	29	0.8	1
12	29	0.9	1
12	3	0.05	1
12	3	0.2	2
12	3	0.25	1
12	3	0.3	1
12	3	0.35	3
12	3	0.4	1
12	3	0.45	3
12	3	0.55	1
12	3	0.6	1
12	3	0.65	1
12	3	0.75	2
12	3	0.8	1
12	3	0.9	1
12	30	0.1	2
12	30	0.95	1
12	31	0.1	3
12	31	0.9	3
12	32	0.05	1
12	32	0.85	1
12	33	0.05	2
12	33	0.2	2
12	34	0.1	1
12	34	0.2	1
12	35	0.15	1
12	37	0.35	1
12	4	0.1	1
12	4	0.15	2
12	4	0.25	1
12	4	0.4	2
12	4	0.45	1
12	4	0.5	1
12	4	0.55	1
12	4	0.6	1
12	4	0.65	1
12	4	0.7	2
12	4	0.8	1
12	4	0.85	1
12	4	0.9	1
12	4	0.95	1
12	5	0.05	1
12	5	0.1	1
12	5	0.15	2
12	5	0.2	1
12	5	0.35	1
12	5	0.45	1
12	5	0.5	2
12	5	0.6	2
12	5	0.65	1
12	5	0.75	2
12	5	0.8	3
12	5	0.85	2
12	5	0.9	2
12	5	0.95	1
12	6	0.05	3
12	6	0.1	4
12	6	0.15	1
12	6	0.2	2
12	6	0.25	1
12	6	0.3	1
12	6	0.35	1
12	6	0.4	1
12	6	0.45	1
12	6	0.55	1
12	6	0.6	1
12	6	0.65	2
12	6	0.7	3
12	6	0.75	2
12	6	0.8	2
12	6	0.85	3
12	6	0.9	1
12	6	0.95	1
12	7	0.05	2
12	7	0.1	3
12	7	0.15	3
12	7	0.2	5
12	7	0.25	5
12	7	0.3	2
12	7	0.35	1
12	7	0.4	2
12	7	0.45	4
12	7	0.5	3
12	7	0.55	1
12	7	0.6	2
12	7	0.8	1
12	7	0.85	3
12	7	0.9	2
12	7	0.95	7
12	8	0.05	8
12	8	0.1	8
12	8	0.15	9
12	8	0.2	5
12	8	0.25	10
12	8	0.3	4
12	8	0.35	2
12	8	0.4	4
12	8	0.45	3
12	8	0.5	5
12	8	0.55	1
12	8	0.6	4
12	8	0.65	1
12	8	0.7	3
12	8	0.75	2
12	8	0.8	2
12	8	0.85	2
12	8	0.9	1
12	8	0.95	2
12	9	0.05	8
12	9	0.1	6
12	9	0.15	4
12	9	0.2	8
12	9	0.25	4
12	9	0.3	3
12	9	0.35	6
12	9	0.4	1
12	9	0.45	8
12	9	0.5	5
12	9	0.55	7
12	9	0.6	2
12	9	0.65	5
12	9	0.7	3
12	9	0.75	2
12	9	0.8	1
12	9	0.85	3
12	9	0.9	2
12	9	0.95	1
13	0	0.05	17
13	0	0.1	7
13	0	0.15	8
13	0	0.2	3
13	0	0.3	1
13	0	0.4	1
13	1	0.05	7
13	1	0.1	3
13	1	0.15	8
13	1	0.2	4
13	1	0.25	3
13	1	0.3	1
13	1	0.35	1
13	1	0.4	2
13	1	0.45	2
13	1	0.5	2
13	1	0.65	1
13	1	0.75	2
13	10	0.05	16
13	10	0.1	15
13	10	0.15	16
13	10	0.2	10
13	10	0.25	13
13	10	0.3	12
13	10	0.35	9
13	10	0.4	11
13	10	0.45	11
13	10	0.5	6
13	10	0.55	9
13	10	0.6	3
13	10	0.65	3
13	10	0.7	5
13	10	0.75	8
13	10	0.8	9
13	10	0.85	2
13	10	0.9	2
13	10	0.95	2
13	11	0.05	16
13	11	0.1	15
13	11	0.15	6
13	11	0.2	15
13	11	0.25	14
13	11	0.3	15
13	11	0.35	17
13	11	0.4	14
13	11	0.45	10
13	11	0.5	9
13	11	0.55	9
13	11	0.6	8
13	11	0.65	4
13	11	0.7	7
13	11	0.75	2
13	11	0.8	5
13	11	0.85	4
13	11	0.9	1
13	11	0.95	3
13	12	0.05	14
13	12	0.1	18
13	12	0.15	8
13	12	0.2	16
13	12	0.25	16
13	12	0.3	16
13	12	0.35	15
13	12	0.4	17
13	12	0.45	18
13	12	0.5	11
13	12	0.55	11
13	12	0.6	16
13	12	0.65	15
13	12	0.7	7
13	12	0.75	11
13	12	0.8	8
13	12	0.85	8
13	12	0.9	3
13	12	0.95	2
13	13	0.05	18
13	13	0.1	16
13	13	0.15	16
13	13	0.2	18
13	13	0.25	9
13	13	0.3	20
13	13	0.35	9
13	13	0.4	14
13	13	0.45	12
13	13	0.5	13
13	13	0.55	18
13	13	0.6	17
13	13	0.65	11
13	13	0.7	12
13	13	0.75	13
13	13	0.8	8
13	13	0.85	7
13	13	0.9	4
13	13	0.95	7
13	14	0.05	13
13	14	0.1	10
13	14	0.15	9
13	14	0.2	14
13	14	0.25	18
13	14	0.3	11
13	14	0.35	20
13	14	0.4	14
13	14	0.45	22
13	14	0.5	14
13	14	0.55	17
13	14	0.6	14
13	14	0.65	12
13	14	0.7	17
13	14	0.75	11
13	14	0.8	12
13	14	0.85	15
13	14	0.9	10
13	14	0.95	4
13	15	0.05	6
13	15	0.1	8
13	15	0.15	6
13	15	0.2	17
13	15	0.25	5
13	15	0.3	21
13	15	0.35	8
13	15	0.4	9
13	15	0.45	18
13	15	0.5	12
13	15	0.55	7
13	15	0.6	18
13	15	0.65	14
13	15	0.7	19
13	15	0.75	18
13	15	0.8	9
13	15	0.85	17
13	15	0.9	7
13	15	0.95	11
13	16	0.05	7
13	16	0.1	9
13	16	0.15	10
13	16	0.2	7
13	16	0.25	10
13	16	0.3	13
13	16	0.35	14
13	16	0.4	9
13	16	0.45	16
13	16	0.5	21
13	16	0.55	12
13	16	0.6	6
13	16	0.65	10
13	16	0.7	19
13	16	0.75	17
13	16	0.8	13
13	16	0.85	10
13	16	0.9	4
13	16	0.95	9
13	17	0.05	1
13	17	0.1	4
13	17	0.15	6
13	17	0.2	5
13	17	0.25	10
13	17	0.3	8
13	17	0.35	8
13	17	0.4	15
13	17	0.45	10
13	17	0.5	11
13	17	0.55	16
13	17	0.6	14
13	17	0.65	20
13	17	0.7	8
13	17	0.75	26
13	17	0.8	17
13	17	0.85	11
13	17	0.9	11
13	17	0.95	10
13	18	0.05	2
13	18	0.1	6
13	18	0.15	4
13	18	0.2	5
13	18	0.25	6
13	18	0.3	5
13	18	0.35	7
13	18	0.4	11
13	18	0.45	8
13	18	0.5	12
13	18	0.55	12
13	18	0.6	11
13	18	0.65	9
13	18	0.7	15
13	18	0.75	14
13	18	0.8	16
13	18	0.85	14
13	18	0.9	11
13	18	0.95	10
13	19	0.05	5
13	19	0.1	4
13	19	0.15	3
13	19	0.2	5
13	19	0.25	6
13	19	0.3	6
13	19	0.35	2
13	19	0.4	5
13	19	0.45	3
13	19	0.5	13
13	19	0.55	7
13	19	0.6	8
13	19	0.65	9
13	19	0.7	15
13	19	0.75	15
13	19	0.8	24
13	19	0.85	15
13	19	0.9	6
13	19	0.95	15
13	2	0.05	5
13	2	0.1	3
13	2	0.15	3
13	2	0.2	2
13	2	0.25	7
13	2	0.3	3
13	2	0.35	3
13	2	0.4	3
13	2	0.45	2
13	2	0.6	1
13	2	0.7	1
13	2	0.75	1
13	2	0.8	2
13	2	0.85	2
13	2	0.95	1
13	20	0.05	2
13	20	0.1	6
13	20	0.15	2
13	20	0.2	2
13	20	0.25	3
13	20	0.35	5
13	20	0.4	1
13	20	0.45	2
13	20	0.5	7
13	20	0.55	6
13	20	0.6	6
13	20	0.65	7
13	20	0.7	14
13	20	0.75	10
13	20	0.8	5
13	20	0.85	9
13	20	0.9	9
13	20	0.95	9
13	21	0.05	3
13	21	0.1	3
13	21	0.15	4
13	21	0.2	2
13	21	0.25	2
13	21	0.3	2
13	21	0.4	9
13	21	0.45	10
13	21	0.5	6
13	21	0.55	3
13	21	0.6	4
13	21	0.65	3
13	21	0.7	14
13	21	0.75	13
13	21	0.8	5
13	21	0.85	6
13	21	0.9	9
13	21	0.95	13
13	22	0.05	1
13	22	0.15	2
13	22	0.2	2
13	22	0.25	2
13	22	0.3	1
13	22	0.4	5
13	22	0.45	2
13	22	0.5	3
13	22	0.55	2
13	22	0.6	1
13	22	0.65	1
13	22	0.7	4
13	22	0.75	9
13	22	0.8	8
13	22	0.85	4
13	22	0.9	8
13	22	0.95	9
13	23	0.05	4
13	23	0.1	3
13	23	0.15	2
13	23	0.2	1
13	23	0.35	1
13	23	0.4	3
13	23	0.45	2
13	23	0.5	2
13	23	0.55	3
13	23	0.6	2
13	23	0.65	2
13	23	0.7	4
13	23	0.75	3
13	23	0.8	4
13	23	0.85	9
13	23	0.9	5
13	23	0.95	10
13	24	0.05	3
13	24	0.1	1
13	24	0.15	2
13	24	0.2	1
13	24	0.25	3
13	24	0.4	1
13	24	0.5	2
13	24	0.55	1
13	24	0.6	2
13	24	0.65	2
13	24	0.7	1
13	24	0.75	6
13	24	0.8	4
13	24	0.85	4
13	24	0.9	8
13	24	0.95	8
13	25	0.05	1
13	25	0.1	2
13	25	0.15	1
13	25	0.2	1
13	25	0.25	2
13	25	0.3	1
13	25	0.4	1
13	25	0.45	1
13	25	0.5	4
13	25	0.6	3
13	25	0.65	1
13	25	0.7	2
13	25	0.75	3
13	25	0.8	7
13	25	0.9	2
13	25	0.95	6
13	26	0.1	1
13	26	0.2	1
13	26	0.25	2
13	26	0.3	4
13	26	0.35	1
13	26	0.4	1
13	26	0.65	3
13	26	0.7	3
13	26	0.75	4
13	26	0.8	3
13	26	0.85	1
13	26	0.9	2
13	26	0.95	2
13	27	0.05	1
13	27	0.1	2
13	27	0.15	2
13	27	0.65	1
13	27	0.7	2
13	27	0.8	3
13	27	0.85	2
13	27	0.9	1
13	28	0.05	1
13	28	0.1	1
13	28	0.15	1
13	28	0.3	1
13	28	0.5	1
13	28	0.6	1
13	28	0.75	1
13	28	0.8	1
13	28	0.85	4
13	29	0.05	1
13	29	0.5	1
13	29	0.7	1
13	29	0.75	1
13	3	0.1	2
13	3	0.2	1
13	3	0.25	3
13	3	0.3	3
13	3	0.35	2
13	3	0.4	3
13	3	0.45	3
13	3	0.5	5
13	3	0.6	2
13	3	0.65	1
13	3	0.7	1
13	3	0.75	3
13	3	0.85	1
13	3	0.9	2
13	3	0.95	1
13	30	0.15	1
13	30	0.5	1
13	30	0.9	1
13	30	0.95	1
13	31	0.2	1
13	31	0.6	1
13	31	0.9	2
13	32	0.2	1
13	32	0.45	1
13	33	0.05	1
13	33	0.1	1
13	33	0.2	1
13	34	0.1	1
13	34	0.55	1
13	35	0.05	1
13	4	0.1	2
13	4	0.2	1
13	4	0.25	1
13	4	0.3	5
13	4	0.4	6
13	4	0.45	3
13	4	0.5	2
13	4	0.55	2
13	4	0.6	1
13	4	0.65	3
13	4	0.7	2
13	4	0.75	3
13	4	0.8	2
13	4	0.85	1
13	4	0.9	1
13	5	0.05	2
13	5	0.1	1
13	5	0.15	1
13	5	0.25	2
13	5	0.3	1
13	5	0.35	2
13	5	0.4	1
13	5	0.45	1
13	5	0.5	3
13	5	0.55	1
13	5	0.6	4
13	5	0.65	1
13	5	0.7	5
13	5	0.75	2
13	5	0.8	3
13	5	0.85	1
13	5	0.9	2
13	5	0.95	6
13	6	0.05	3
13	6	0.1	2
13	6	0.15	6
13	6	0.2	1
13	6	0.25	2
13	6	0.3	2
13	6	0.35	5
13	6	0.45	1
13	6	0.55	3
13	6	0.6	3
13	6	0.65	1
13	6	0.7	4
13	6	0.75	4
13	6	0.8	2
13	6	0.85	4
13	6	0.9	2
13	6	0.95	1
13	7	0.05	4
13	7	0.1	6
13	7	0.15	5
13	7	0.2	7
13	7	0.25	8
13	7	0.3	4
13	7	0.35	1
13	7	0.4	1
13	7	0.45	3
13	7	0.5	1
13	7	0.6	4
13	7	0.65	3
13	7	0.7	5
13	7	0.75	4
13	7	0.8	3
13	7	0.85	2
13	7	0.9	1
13	7	0.95	1
13	8	0.05	8
13	8	0.1	9
13	8	0.15	10
13	8	0.2	7
13	8	0.25	9
13	8	0.3	7
13	8	0.35	3
13	8	0.4	5
13	8	0.45	5
13	8	0.5	7
13	8	0.55	2
13	8	0.65	7
13	8	0.7	2
13	8	0.75	3
13	8	0.8	2
13	8	0.85	2
13	8	0.9	1
13	8	0.95	5
13	9	0.05	8
13	9	0.1	14
13	9	0.15	11
13	9	0.2	13
13	9	0.25	10
13	9	0.3	5
13	9	0.35	5
13	9	0.4	5
13	9	0.45	6
13	9	0.5	8
13	9	0.55	4
13	9	0.6	5
13	9	0.65	5
13	9	0.7	3
13	9	0.75	3
13	9	0.8	3
13	9	0.85	2
13	9	0.9	4
14	0	0.05	43
14	0	0.1	16
14	0	0.15	8
14	0	0.2	1
14	0	0.25	3
14	0	0.3	3
14	0	0.35	1
14	0	0.45	2
14	0	0.5	1
14	0	0.65	1
14	1	0.05	23
14	1	0.1	17
14	1	0.15	11
14	1	0.2	6
14	1	0.25	4
14	1	0.3	3
14	1	0.35	5
14	1	0.4	2
14	1	0.45	4
14	1	0.5	1
14	1	0.6	2
14	1	0.65	1
14	1	0.75	1
14	10	0.05	13
14	10	0.1	12
14	10	0.15	9
14	10	0.2	21
14	10	0.25	13
14	10	0.3	11
14	10	0.35	17
14	10	0.4	10
14	10	0.45	3
14	10	0.5	7
14	10	0.55	12
14	10	0.6	7
14	10	0.65	9
14	10	0.7	6
14	10	0.75	5
14	10	0.8	2
14	10	0.85	3
14	10	0.9	5
14	10	0.95	4
14	11	0.05	12
14	11	0.1	15
14	11	0.15	21
14	11	0.2	18
14	11	0.25	18
14	11	0.3	17
14	11	0.35	15
14	11	0.4	18
14	11	0.45	19
14	11	0.5	8
14	11	0.55	8
14	11	0.6	9
14	11	0.65	14
14	11	0.7	8
14	11	0.75	6
14	11	0.8	5
14	11	0.9	5
14	11	0.95	4
14	12	0.05	14
14	12	0.1	15
14	12	0.15	24
14	12	0.2	14
14	12	0.25	23
14	12	0.3	20
14	12	0.35	17
14	12	0.4	20
14	12	0.45	17
14	12	0.5	11
14	12	0.55	12
14	12	0.6	14
14	12	0.65	17
14	12	0.7	14
14	12	0.75	9
14	12	0.8	6
14	12	0.85	5
14	12	0.9	4
14	12	0.95	1
14	13	0.05	10
14	13	0.1	15
14	13	0.15	21
14	13	0.2	23
14	13	0.25	19
14	13	0.3	18
14	13	0.35	16
14	13	0.4	26
14	13	0.45	24
14	13	0.5	9
14	13	0.55	8
14	13	0.6	16
14	13	0.65	13
14	13	0.7	12
14	13	0.75	10
14	13	0.8	7
14	13	0.85	10
14	13	0.9	4
14	13	0.95	9
14	14	0.05	14
14	14	0.1	12
14	14	0.15	19
14	14	0.2	12
14	14	0.25	19
14	14	0.3	22
14	14	0.35	21
14	14	0.4	14
14	14	0.45	18
14	14	0.5	16
14	14	0.55	12
14	14	0.6	19
14	14	0.65	19
14	14	0.7	20
14	14	0.75	12
14	14	0.8	11
14	14	0.85	5
14	14	0.9	10
14	14	0.95	9
14	15	0.05	19
14	15	0.1	10
14	15	0.15	14
14	15	0.2	19
14	15	0.25	13
14	15	0.3	9
